sepal_length,sepal_width,petal_length,petal_width,species,petal_area_approx,species_encoded
5.1,3.5,1.4,0.2,Iris-setosa,0.27999999999999997,0
4.9,3.0,1.4,0.2,Iris-setosa,0.27999999999999997,0
4.7,3.2,1.3,0.2,Iris-setosa,0.26,0
4.6,3.1,1.5,0.2,Iris-setosa,0.30000000000000004,0
5.0,3.6,1.4,0.2,Iris-setosa,0.27999999999999997,0
5.4,3.9,1.7,0.4,Iris-setosa,0.68,0
4.6,3.4,1.4,0.3,Iris-setosa,0.42,0
5.0,3.4,1.5,0.2,Iris-setosa,0.30000000000000004,0
4.4,2.9,1.4,0.2,Iris-setosa,0.27999999999999997,0
4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002,0
5.4,3.7,1.5,0.2,Iris-setosa,0.30000000000000004,0
4.8,3.4,1.6,0.2,Iris-setosa,0.32000000000000006,0
4.8,3.0,1.4,0.1,Iris-setosa,0.13999999999999999,0
4.3,3.0,1.1,0.1,Iris-setosa,0.11000000000000001,0
5.8,4.0,1.2,0.2,Iris-setosa,0.24,0
5.7,4.4,1.5,0.4,Iris-setosa,0.6000000000000001,0
5.4,3.9,1.3,0.4,Iris-setosa,0.52,0
5.1,3.5,1.4,0.3,Iris-setosa,0.42,0
5.7,3.8,1.7,0.3,Iris-setosa,0.51,0
5.1,3.8,1.5,0.3,Iris-setosa,0.44999999999999996,0
5.4,3.4,1.7,0.2,Iris-setosa,0.34,0
5.1,3.7,1.5,0.4,Iris-setosa,0.6000000000000001,0
4.6,3.6,1.0,0.2,Iris-setosa,0.2,0
5.1,3.3,1.7,0.5,Iris-setosa,0.85,0
4.8,3.4,1.9,0.2,Iris-setosa,0.38,0
5.0,3.0,1.6,0.2,Iris-setosa,0.32000000000000006,0
5.0,3.4,1.6,0.4,Iris-setosa,0.6400000000000001,0
5.2,3.5,1.5,0.2,Iris-setosa,0.30000000000000004,0
5.2,3.4,1.4,0.2,Iris-setosa,0.27999999999999997,0
4.7,3.2,1.6,0.2,Iris-setosa,0.32000000000000006,0
4.8,3.1,1.6,0.2,Iris-setosa,0.32000000000000006,0
5.4,3.4,1.5,0.4,Iris-setosa,0.6000000000000001,0
5.2,4.1,1.5,0.1,Iris-setosa,0.15000000000000002,0
5.5,4.2,1.4,0.2,Iris-setosa,0.27999999999999997,0
